ok,ms,status,grok_proxy,raw,error
0,5032,,socks4://170.106.177.188:9050,socks4://170.106.177.188:9050,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,5056,,socks5://43.162.90.69:1080,socks5://43.162.90.69:1080,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,5075,,socks5://43.135.153.37:9050,socks5://43.135.153.37:9050,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,5103,,http://43.162.83.26:3128,http://43.162.83.26:3128,"ConnectionError:('Connection aborted.', RemoteDisconnected('Remote end closed connection without…"
0,5104,,socks4://43.153.84.220:9050,socks4://43.153.84.220:9050,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,5105,,socks5://170.106.177.188:9050,socks5://170.106.177.188:9050,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,5118,,socks5://178.130.47.41:1081,socks5://178.130.47.41:1081,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,5569,,socks4://147.45.60.250:1082,socks4://147.45.60.250:1082,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,5763,,socks5://98.191.0.47:4145,socks5://98.191.0.47:4145,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,6194,,socks4://140.82.62.31:50000,socks4://140.82.62.31:50000,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,6489,,socks5://98.190.239.3:4145,socks5://98.190.239.3:4145,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,6554,,socks5://147.45.60.249:1081,socks5://147.45.60.249:1081,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,6656,,socks5://147.45.60.246:1081,socks5://147.45.60.246:1081,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,6659,,socks5://104.37.135.145:4145,socks5://104.37.135.145:4145,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,6675,,socks5://103.7.138.17:1080,socks5://103.7.138.17:1080,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,6685,,socks5://147.45.60.241:1081,socks5://147.45.60.241:1081,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,6788,,socks5://178.130.47.43:1082,socks5://178.130.47.43:1082,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,6824,,socks5://3.129.27.9:17000,socks5://3.129.27.9:17000,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,6923,,socks5://178.130.47.42:1081,socks5://178.130.47.42:1081,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,6976,,socks5://173.254.213.89:10800,socks5://173.254.213.89:10800,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,7327,,socks4://147.45.60.252:1082,socks4://147.45.60.252:1082,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,7751,,socks5://3.128.83.74:17002,socks5://3.128.83.74:17002,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,7935,,socks5://193.25.215.182:22222,socks5://193.25.215.182:22222,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,7959,,socks5://178.130.47.41:1082,socks5://178.130.47.41:1082,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,8100,,socks5://216.106.179.216:49382,socks5://216.106.179.216:49382,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,8440,,socks4://147.45.60.246:1081,socks4://147.45.60.246:1081,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,8587,,socks4://216.106.179.216:49284,socks4://216.106.179.216:49284,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,8781,,socks5://178.130.47.43:1081,socks5://178.130.47.43:1081,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,9172,,socks5://107.151.148.153:1080,socks5://107.151.148.153:1080,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,10543,,socks5://23.184.200.67:1080,socks5://23.184.200.67:1080,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,10662,,socks5://47.89.159.212:222,socks5://47.89.159.212:222,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,10749,,socks4://204.44.101.188:7890,socks4://204.44.101.188:7890,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,10751,,socks5://47.89.159.212:6969,socks5://47.89.159.212:6969,"ssl:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,11140,,socks4://23.184.200.67:1080,socks4://23.184.200.67:1080,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,11760,,socks5://144.24.47.42:1080,socks5://144.24.47.42:1080,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,11849,,socks5://141.148.158.143:1080,socks5://141.148.158.143:1080,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,12004,,http://216.106.179.216:49534,http://216.106.179.216:49534,read_timeout
0,12004,,http://142.93.202.130:3128,http://142.93.202.130:3128,read_timeout
0,12004,,socks5://104.194.132.112:9050,socks5://104.194.132.112:9050,connect_timeout
0,12004,,http://208.72.154.139:8462,http://208.72.154.139:8462,read_timeout
0,12005,,socks5://178.130.47.21:1082,socks5://178.130.47.21:1082,connect_timeout
0,12005,,http://216.106.179.216:49519,http://216.106.179.216:49519,read_timeout
0,12005,,socks5://147.45.60.139:1082,socks5://147.45.60.139:1082,connect_timeout
0,12005,,http://147.45.60.249:1081,http://147.45.60.249:1081,read_timeout
0,12005,,socks5://103.11.76.74:1081,socks5://103.11.76.74:1081,connect_timeout
0,12005,,http://38.55.145.248:8888,http://38.55.145.248:8888,read_timeout
0,12005,,http://129.146.127.232:3128,http://129.146.127.232:3128,read_timeout
0,12005,,socks5://216.106.179.216:49519,socks5://216.106.179.216:49519,connect_timeout
0,12005,,http://34.134.231.117:3129,http://34.134.231.117:3129,read_timeout
0,12005,,http://147.45.60.249:1082,http://147.45.60.249:1082,read_timeout
0,12005,,http://216.106.179.216:49579,http://216.106.179.216:49579,read_timeout
0,12005,,http://103.11.76.74:1081,http://103.11.76.74:1081,read_timeout
0,12005,,http://47.251.73.54:9898,http://47.251.73.54:9898,read_timeout
0,12005,,socks5://207.244.69.164:50005,socks5://207.244.69.164:50005,connect_timeout
0,12005,,http://147.45.60.246:1081,http://147.45.60.246:1081,read_timeout
0,12005,,socks5://43.110.40.117:8888,socks5://43.110.40.117:8888,connect_timeout
0,12005,,http://147.45.60.250:1081,http://147.45.60.250:1081,read_timeout
0,12005,,socks5://147.45.60.246:1082,socks5://147.45.60.246:1082,connect_timeout
0,12005,,http://198.89.96.140:808,http://198.89.96.140:808,read_timeout
0,12005,,http://147.45.60.252:1081,http://147.45.60.252:1081,read_timeout
0,12005,,http://149.248.37.215:9000,http://149.248.37.215:9000,read_timeout
0,12005,,http://98.147.60.146:48678,http://98.147.60.146:48678,read_timeout
0,12005,,http://67.225.241.201:3128,http://67.225.241.201:3128,read_timeout
0,12005,,http://4.157.188.13:3128,http://4.157.188.13:3128,read_timeout
0,12006,,socks5://47.85.9.228:10800,socks5://47.85.9.228:10800,connect_timeout
0,12006,,http://178.130.47.42:1081,http://178.130.47.42:1081,read_timeout
0,12006,,socks5://216.106.179.216:49507,socks5://216.106.179.216:49507,connect_timeout
0,12006,,http://5.161.196.81:8888,http://5.161.196.81:8888,read_timeout
0,12006,,http://216.106.179.216:49514,http://216.106.179.216:49514,read_timeout
0,12006,,socks5://45.32.195.109:9050,socks5://45.32.195.109:9050,connect_timeout
0,12006,,http://216.106.179.216:49285,http://216.106.179.216:49285,read_timeout
0,12006,,socks4://216.106.179.216:49532,socks4://216.106.179.216:49532,connect_timeout
0,12006,,http://23.228.86.236:8081,http://23.228.86.236:8081,read_timeout
0,12006,,http://23.224.193.46:3128,http://23.224.193.46:3128,read_timeout
0,12006,,http://172.93.101.178:3128,http://172.93.101.178:3128,read_timeout
0,12006,,http://147.45.60.250:1082,http://147.45.60.250:1082,read_timeout
0,12006,,http://45.77.148.203:9000,http://45.77.148.203:9000,read_timeout
0,12006,,socks5://192.9.241.51:26568,socks5://192.9.241.51:26568,connect_timeout
0,12006,,socks5://147.45.60.252:1081,socks5://147.45.60.252:1081,connect_timeout
0,12006,,socks5://216.106.179.216:49579,socks5://216.106.179.216:49579,connect_timeout
0,12006,,http://47.251.101.142:3128,http://47.251.101.142:3128,read_timeout
0,12006,,http://178.130.47.41:1082,http://178.130.47.41:1082,read_timeout
0,12006,,http://216.106.179.216:49284,http://216.106.179.216:49284,read_timeout
0,12006,,http://45.32.192.240:9000,http://45.32.192.240:9000,read_timeout
0,12006,,http://45.32.1.83:9000,http://45.32.1.83:9000,read_timeout
